Parallel SHA1 Metric Data
Min Message Size(GB): 0.100000
Max Message Size(GB): 0.200000
Min Threads         : 1
Max Threads         : 2
Granularity         : 50
Tests per Cycle     : 1

Threads: 1
Message Size(GB), Parallel Time, Serial Time, Serial Speedup
0.000100,            0.0014,        0.0002,    6.09
0.000102,            0.0021,        0.0001,    14.59
0.000104,            0.0014,        0.0002,    8.47
0.000106,            0.0013,        0.0001,    8.72
0.000108,            0.0012,        0.0002,    7.85
0.000110,            0.0014,        0.0002,    9.48
0.000112,            0.0017,        0.0002,    10.66
0.000114,            0.0015,        0.0002,    9.30
0.000116,            0.0014,        0.0002,    8.57
0.000118,            0.0014,        0.0002,    7.99
0.000120,            0.0021,        0.0002,    12.13
0.000122,            0.0014,        0.0002,    7.99
0.000124,            0.0016,        0.0003,    4.87
0.000126,            0.0015,        0.0005,    3.00
0.000128,            0.0016,        0.0002,    7.87
0.000130,            0.0015,        0.0002,    8.23
0.000132,            0.0016,        0.0002,    9.75
0.000134,            0.0020,        0.0002,    11.22
0.000136,            0.0016,        0.0002,    9.65
0.000138,            0.0016,        0.0002,    9.80
0.000140,            0.0017,        0.0002,    9.95
0.000142,            0.0017,        0.0002,    9.60
0.000144,            0.0017,        0.0002,    9.88
0.000146,            0.0017,        0.0002,    9.19
0.000148,            0.0020,        0.0002,    11.16
0.000150,            0.0018,        0.0002,    9.81
0.000152,            0.0018,        0.0002,    9.82
0.000154,            0.0018,        0.0002,    9.66
0.000156,            0.0020,        0.0002,    9.72
0.000158,            0.0020,        0.0002,    10.34
0.000160,            0.0019,        0.0002,    9.94
0.000162,            0.0019,        0.0002,    9.69
0.000164,            0.0020,        0.0002,    9.97
0.000166,            0.0019,        0.0002,    9.21
0.000168,            0.0020,        0.0002,    9.53
0.000170,            0.0020,        0.0003,    7.86
0.000172,            0.0022,        0.0002,    10.48
0.000174,            0.0028,        0.0002,    12.63
0.000176,            0.0030,        0.0002,    13.98
0.000178,            0.0032,        0.0002,    14.70
0.000180,            0.0034,        0.0002,    15.58
0.000182,            0.0031,        0.0002,    14.32
0.000184,            0.0034,        0.0002,    16.51
0.000186,            0.0029,        0.0002,    14.51
0.000188,            0.0026,        0.0002,    13.05
0.000190,            0.0021,        0.0002,    10.33
0.000192,            0.0022,        0.0002,    10.59
0.000194,            0.0031,        0.0002,    14.19
0.000196,            0.0023,        0.0002,    10.90
0.000198,            0.0022,        0.0002,    10.11
0.000200,            0.0022,        0.0002,    10.45

Threads: 2
Message Size(GB), Parallel Time, Serial Time, Serial Speedup
0.000100,            0.0066,        0.0002,    29.08
0.000102,            0.0010,        0.0001,    7.39
0.000104,            0.0037,        0.0002,    23.47
0.000106,            0.0008,        0.0001,    5.26
0.000108,            0.0008,        0.0002,    5.14
0.000110,            0.0008,        0.0002,    5.14
0.000112,            0.0008,        0.0002,    5.36
0.000114,            0.0052,        0.0002,    33.16
0.000116,            0.0027,        0.0002,    16.99
0.000118,            0.0026,        0.0002,    14.94
0.000120,            0.0039,        0.0002,    23.26
0.000122,            0.0029,        0.0002,    16.83
0.000124,            0.0028,        0.0003,    8.63
0.000126,            0.0027,        0.0005,    5.47
0.000128,            0.0028,        0.0002,    14.21
0.000130,            0.0027,        0.0002,    14.42
0.000132,            0.0028,        0.0002,    17.41
0.000134,            0.0028,        0.0002,    15.80
0.000136,            0.0027,        0.0002,    16.11
0.000138,            0.0028,        0.0002,    16.64
0.000140,            0.0027,        0.0002,    16.05
0.000142,            0.0029,        0.0002,    16.93
0.000144,            0.0027,        0.0002,    15.20
0.000146,            0.0027,        0.0002,    14.44
0.000148,            0.0103,        0.0002,    56.90
0.000150,            0.0030,        0.0002,    16.43
0.000152,            0.0027,        0.0002,    14.71
0.000154,            0.0028,        0.0002,    15.08
0.000156,            0.0034,        0.0002,    16.78
0.000158,            0.0031,        0.0002,    16.03
0.000160,            0.0028,        0.0002,    14.25
0.000162,            0.0028,        0.0002,    14.26
0.000164,            0.0029,        0.0002,    14.53
0.000166,            0.0031,        0.0002,    14.69
0.000168,            0.0031,        0.0002,    15.18
0.000170,            0.0031,        0.0003,    12.07
0.000172,            0.0092,        0.0002,    44.45
0.000174,            0.0039,        0.0002,    17.50
0.000176,            0.0031,        0.0002,    14.74
0.000178,            0.0031,        0.0002,    14.35
0.000180,            0.0029,        0.0002,    13.25
0.000182,            0.0032,        0.0002,    14.46
0.000184,            0.0031,        0.0002,    14.85
0.000186,            0.0031,        0.0002,    15.30
0.000188,            0.0032,        0.0002,    15.78
0.000190,            0.0030,        0.0002,    14.57
0.000192,            0.0030,        0.0002,    14.39
0.000194,            0.0032,        0.0002,    14.73
0.000196,            0.0032,        0.0002,    15.15
0.000198,            0.0031,        0.0002,    14.39
0.000200,            0.0031,        0.0002,    14.63

PASSED
